Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N (g)
56.0,0.0,0.0,0.0,16.943259,0.0,0.02,55.00000000000001,0.0,8.514
35.0,35.0,0.0,0.0,0.0,5.0,0.060000000000000005,59.99999999999999,0.2,2.134
35.0,35.0,0.0,0.0,10.0,5.0,0.060000000000000005,59.99999999999999,0.2,2.706
15.0,0.0,0.0,0.0,0.5,12.3,3.6,65.0,0.0,70.11205
15.0,0.0,0.0,0.0,0.5,12.3,3.6,65.0,0.0,38.9741392
46.0,0.0,0.0,0.0,0.0,2.0,1.0,59.99999999999999,0.0,28.4224239
46.0,0.0,0.0,0.0,25.0,2.0,1.0,59.99999999999999,0.0,21.9051887
55.0,0.0,0.0,0.0,0.0,0.0,0.38000000000000006,65.49621524799998,0.0,11.17242
70.0,0.0,0.0,0.0,3.3,10.0,1.2,67.821405248,0.0,0.527
70.0,0.0,0.0,0.0,6.6,10.0,1.2,61.68,0.0,1.438
70.0,0.0,0.0,0.0,9.899999999999999,10.0,1.2,62.22961,0.0,0.774
56.0,28.0,0.0,0.0,16.95419393,8.0,0.4,65.0,4.67e-05,0.440853636
56.0,28.0,0.0,0.0,25.4312909,8.0,0.4,65.0,4.38e-05,0.368384545
56.0,28.0,0.0,0.0,9.042236764,8.0,0.4,65.0,5.37e-05,0.326110909
56.0,28.0,0.0,0.0,9.607376562,8.0,0.4,65.0,5.37e-05,0.259680909
56.0,56.0,0.0,0.0,18.0,11.0,0.13,55.00000000000001,1.111111111,0.1686
25.0,25.0,0.0,0.0,0.0,25.000000000000004,0.030000000000000002,66.0,0.823858955,0.1326
25.0,25.0,0.0,0.0,2.220354809,25.000000000000004,0.030000000000000002,66.0,0.805963702,0.1046
25.0,25.0,0.0,0.0,1.821661998,25.000000000000004,0.030000000000000002,66.0,0.809119532,0.0931
35.0,35.0,10.0,240.0,2.5,5.0,0.18,59.99999999999999,6.250000000000001,179.7295818
35.0,35.0,10.0,240.0,9.230769231,5.0,0.18,59.99999999999999,6.250000000000001,177.5656909
35.0,35.0,10.0,240.0,16.92307692,5.0,0.18,59.99999999999999,6.250000000000001,168.1253
35.0,35.0,10.0,240.0,24.61538462,5.0,0.18,59.99999999999999,6.250000000000001,175.5411636
50.0,0.0,0.0,0.0,0.0,9.0,0.060000000000000005,60.6,0.0,117.1479273
50.0,0.0,0.0,0.0,25.49,9.0,0.060000000000000005,60.1,0.0,119.4439273
30.0,30.000000000000004,0.0,0.0,1.0,6.0,0.12000000000000001,64.624082374,2.566208171,200.0
28.0,28.0,0.0,0.0,0.0,4.0,0.060000000000000005,62.06000000000001,0.36,170.0
28.0,28.0,0.0,0.0,10.0,4.0,0.060000000000000005,58.69,0.36,440.0
56.0,56.0,0.0,0.0,0.0,11.0,0.09999999999999998,56.03,0.7384444444,600.0
42.0,42.0,0.0,0.0,0.0,9.0,0.09999999999999998,56.23,0.3325196856,2.177509091
42.0,42.0,0.0,0.0,2.0,9.0,0.09999999999999998,62.22381,0.4655,1.761963636
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,0.010508273
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,0.069633614
84.0,0.0,0.0,0.0,15.84382872,0.0,0.12000000000000001,81.5,0.0,1.042185455
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.22,1.170088182
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.44,1.463795455
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.66,1.203249091
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.22,0.352609091
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.44,0.371890909
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.66,0.189954545
60.0,60.00000000000001,0.0,0.0,1.3941967193,5.0,0.045,70.0,0.22,0.240354545
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,0.0045
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,0.0043
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,0.0058625
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,0.0078
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,0.0119
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,0.0038
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,0.002975
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.0021
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.0026
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5248,0.43638828090000004,2.695932
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.0792,0.43638828090000004,3.051661
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,60.3523,0.44438828090000004,3.067961
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.109199999999994,0.43638828090000004,2.964873
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.01160000000001,0.43638828090000004,2.967116
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5648,0.43638828090000004,2.801453
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,22.18
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,52.27
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,120.62
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,3707.180909
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,9288.427273
50.0,50.0,0.0,0.0,0.0,10.0,0.01,47.6,0.66,1.1284
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,0.430155
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,0.27375
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.027252909
40.0,0.0,0.0,0.0,1.0,9.0,0.2,65.0,0.0,0.745139258
21.0,21.0,1.0,20.0,0.0,4.0,0.0474,49.21,,0.026286845
21.0,21.0,1.0,20.0,2.0,4.0,0.0474,49.21,,0.024206064
21.0,21.0,1.0,20.0,,4.0,0.0474,49.21,,0.013837027
35.0,0.0,0.0,0.0,0.0,5.0,0.004,60.0,0.0,0.00284061
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0026926
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00269829
35.0,0.0,0.0,0.0,7.5,5.0,0.004,60.0,0.0,0.00269829
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00263567
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00274383
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00283491
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0027723
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,1.019172
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,1.038825455
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,0.606449455
