Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final C_N (%)
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,4,0.42,11,25.94,16.77
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,32,0.42,11,25.94,16.85
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,20.0,0.1,59.46,4,0.36,13,17.95,17.62
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,24,0.27,11,11.37,9.71
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,29,0.26,11,11.37,10.22
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,29,0.26,3,11.37,8.9
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,29,0.26,3,11.37,8.94
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,24,0.25,11,18.43,7.54
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,14,0.25,8,18.43,11.64
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,29,0.25,11,18.43,14.2
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,14,0.25,11,18.43,13.94
1,26,1.0,0,7,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,24,1.37,11,31.01,15.62
1,26,1.0,0,7,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,9,1.42,11,30.06,14.18
1,26,1.0,0,7,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,9,1.4,11,30.33,15.1
1,26,1.0,0,7,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,9,1.35,11,30.55,14.3
1,26,1.0,0,7,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,9,1.34,11,31.04,11.84
1,26,1.0,0,7,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,9,1.29,11,30.79,12.64
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,2.0,0.1,63.49,19,0.39,11,25.56,18.96
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,4.0,0.1,62.01,19,0.4,11,25.83,19.69
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,6.0,0.1,61.89,19,0.4,11,25.91,16.64
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,10.0,0.1,61.7,19,0.41,11,25.98,16.95
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,24,0.56,11,17.96,16.73
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,24,0.49,11,17.83,16.29
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,24,0.78,11,19.19,14.43
0,16,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,24,0.5,11,21.05,19.19
0,16,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,24,0.51,11,22.43,14.43
0,23,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,24,0.44,11,12.13,17.05
0,23,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,24,0.75,11,22.24,19.35
0,11,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,24,0.83,11,35.0,27.32
0,11,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.59,11,25.0,17.3
0,9,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.56,11,20.0,15.0
0,9,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,24,0.35,11,15.0,12.2
0,23,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,65.3,24,0.52,11,11.7,11.5
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,20.61
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,11,20.54,14.04
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,11,20.54,16.09
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,13,20.54,14.13
1,14,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,11,20.54,28.99
1,14,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,13,20.54,28.91
2,8,0.0,0,10,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,24,0.0,11,12.2,15.1
2,12,0.0,0,10,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,24,0.0,11,15.3,15.2
2,12,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,24,0.0,11,20.1,17.1
2,20,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,24,0.0,11,29.9,28.6
2,12,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,4,0.0,11,20.5,20.4
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,24,0.28,11,11.0,10.3
0,10,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,24,0.28,11,11.0,10.2
0,10,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,24,0.28,11,11.0,9.6
0,15,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,14.7,12.7
0,15,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,24,0.28,11,12.9,12.1
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,25.0,0.01,65.0,4,0.28,11,16.7,17.4
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,14.29,0.01,67.0,4,0.28,11,14.0,14.1
0,0,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,14.0,11.4
0,6,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,12.1,10.8
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,10.79
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,12.27
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.63
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.72
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.18
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.52
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.27
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,16.2
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.08
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,24,0.24,11,14.7,10.75
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,24,0.48,11,18.3,12.51
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,24,0.72,11,20.7,14.69
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,24,0.24,11,18.4,13.89
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,24,0.48,11,21.1,13.23
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,24,0.72,11,15.0,13.79
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,24,0.24,11,21.2,14.16
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,24,0.48,11,14.9,16.53
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,24,0.72,11,18.0,14.2
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,0.0,2.0,60.0,24,0.0,11,26.03,16.07
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,17.35
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,15.62
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,15.46
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,20.31
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,16.65
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,16.96
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,15.95
1,1,1.0,0,10,31.0,30.0,0,0.0,0.0,1.0,2.83,0.95,69.47,24,0.31,11,13.16,7.36
1,15,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,24,0.81,11,21.96,17.92
1,15,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,24,0.81,11,21.51,17.07
1,15,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,24,0.81,11,21.64,17.09
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,24,0.0,11,17.4,9.0
3,1,1.0,1,10,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,24,0.0,11,17.4,8.6
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,24,0.0,11,17.4,8.8
3,1,1.0,1,10,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,24,0.0,11,17.4,8.5
2,1,0.0,1,10,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,24,0.0,11,17.4,10.2
2,1,1.0,1,10,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,24,0.0,11,17.4,10.0
1,1,1.0,0,9,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,24,0.2,11,11.37,10.22
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,24,0.0,11,30.88,15.59
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,9,0.0,11,30.04,14.24
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,9,0.0,11,30.35,15.06
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,9,0.0,11,30.57,14.28
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,9,0.0,11,30.88,11.84
3,26,1.0,0,7,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,9,0.0,11,31.04,12.59
0,18,1.0,0,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,0.08,11,19.77,15.23
0,18,1.0,0,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,0.83,11,20.12,11.43
0,18,1.0,0,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,1.64,11,20.02,14.48
0,15,1.0,0,9,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,24,0.22,11,19.11,13.76
0,26,1.0,0,9,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,24,0.21,11,13.27,9.98
0,13,1.0,0,9,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,24,0.21,11,13.56,8.99
1,1,1.0,0,10,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.86,11,15.04,13.79
1,1,1.0,0,10,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.93,11,19.96,12.9
1,1,1.0,0,10,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.9,11,24.99,10.95
1,1,1.0,0,10,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.91,11,30.23,10.8
1,17,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,24,0.96,11,20.9,18.8
1,17,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,24,0.86,11,18.7,15.7
1,17,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,24,0.76,11,16.8,13.1
0,15,1.0,2,7,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,24,0.16,11,30.3,26.0
1,7,0.0,1,9,37.0,37.0,1,20.0,40.0,5.0,0.0,1.0,65.0,24,0.19,11,25.0,24.97
1,7,0.0,1,9,37.0,37.0,1,20.0,40.0,5.0,5.0,1.0,65.0,4,0.19,11,25.0,20.0
1,7,0.0,1,9,37.0,37.0,1,20.0,40.0,5.0,10.0,1.0,65.0,4,0.19,11,25.0,20.34
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,0.0,0.0,60.0,24,0.0,11,7.75,8.42
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,12.5,0.0,60.0,33,0.0,11,8.01,8.14
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,12.5,0.0,60.0,8,0.0,11,7.65,8.13
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,7.5,0.0,60.0,12,0.0,11,8.48,7.19
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,12.5,0.0,60.0,33,0.0,2,7.56,7.72
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,20.0,0.0,60.0,33,0.0,4,7.45,7.99
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,20.0,0.0,60.0,8,0.0,4,8.23,7.26
3,13,1.0,0,7,35.0,0.0,2,0.0,0.0,5.0,20.0,0.0,60.0,33,0.0,2,11.6,6.56
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.45,24,0.37,11,11.68,8.2
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.82,24,0.35,11,10.89,8.19
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.53,24,0.37,11,11.38,11.59
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.74,24,0.31,11,12.39,9.45
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.52,24,0.29,11,12.04,7.49
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.08,24,0.31,11,9.49,11.87
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.35,24,0.36,11,12.19,12.51
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.11,24,0.34,11,12.47,9.45
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.01,24,0.31,11,12.04,8.98
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.56,24,0.29,11,11.48,8.42
0,19,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.58,24,0.31,11,12.56,8.07
0,15,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.18,24,0.35,11,9.95,11.78
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,57.57,24,0.33,11,13.48,8.68
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.18,24,0.34,11,11.3,9.51
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.59,24,0.36,11,10.25,7.8
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,59.92,24,0.36,11,10.59,9.11
0,18,1.0,0,9,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.03,24,0.34,11,10.29,10.06
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,0.0,0.2,65.0,24,0.0,11,29.71,10.55
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,1.0,0.2,65.0,22,0.0,11,29.85,9.8
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,5.0,0.2,65.0,4,0.0,11,33.08,11.22
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,6.0,0.2,65.0,4,0.0,10,33.44,10.52
