M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,1,0,0,4,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,23,0.78,13,23.95,32.13
1.0,1,0,3,11,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,28,0.38,13,17.43,32.01
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,31,0.38,13,14.84,20.32
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,6,0.38,13,16.2,33.29
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,31,0.38,2,13.98,19.58
1.0,1,0,3,11,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,28,0.48,13,19.25,31.5
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,13,0.48,13,18.57,15.82
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,12,0.48,13,18.57,27.47
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,15,0.48,13,18.97,32.42
0.75,7,0,3,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,23.4
0.75,7,0,1,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,37,0.49,13,20.51,13.05
0.75,7,0,2,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,37,0.49,13,20.51,6.82
0.75,7,0,0,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,16.78
1.0,26,0,3,8,42.0,42.0,0,0.0,0.0,2.0,0.0,0.17,53.8,28,0.07,13,16.6,48.7
1.0,26,0,4,8,42.0,42.0,0,0.0,0.0,2.0,10.8,0.17,49.3,3,0.07,13,18.6,41.9
1.0,26,0,4,8,42.0,42.0,0,0.0,0.0,2.0,21.6,0.17,50.2,3,0.07,13,20.4,38.3
1.0,1,0,3,10,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,28,0.27,13,11.37,37.08
1.0,1,0,1,10,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,38,0.26,13,11.37,28.22
1.0,1,0,1,10,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,38,0.26,3,11.37,26.16
1.0,1,0,1,10,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,38,0.26,3,11.37,24.0
1.0,1,0,3,11,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,28,0.25,13,18.43,37.5
1.0,1,0,1,11,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,13,0.25,9,18.43,18.8
1.0,1,0,4,11,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,38,0.25,13,18.43,24.8
1.0,1,0,1,11,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,13,0.25,13,18.43,15.5
0.75,16,0,3,10,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,33.4
0.75,8,0,4,10,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,18.5
0.75,16,0,4,10,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,13.8
1.0,26,0,3,8,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,28,1.37,13,31.01,41.19
1.0,26,0,4,8,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,7,1.42,13,30.06,38.64
1.0,26,0,4,8,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,7,1.4,13,30.33,31.45
1.0,26,0,4,8,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,7,1.35,13,30.55,25.78
1.0,26,0,4,8,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,7,1.34,13,31.04,18.48
1.0,26,0,4,8,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,7,1.29,13,30.79,12.39
1.0,26,0,3,11,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,28,0.3,13,25.0,3.28
1.0,26,0,4,11,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,3,0.3,13,25.94,1.86
1.0,26,0,4,11,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,3,0.3,16,17.95,1.06
1.0,26,0,2,11,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,3,0.3,16,17.95,1.02
1.0,26,0,2,11,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,3,0.3,16,17.95,0.85
1.0,16,0,3,10,34.0,34.0,0,0.0,0.0,7.0,0.0,0.01,67.6,28,0.03,13,33.5,20.9
1.0,16,0,1,10,34.0,34.0,0,0.0,0.0,7.0,7.73,0.01,67.3,22,0.03,7,33.52,14.7
1.0,16,0,1,10,34.0,34.0,0,0.0,0.0,7.0,7.13,0.01,66.8,16,0.03,6,33.11,17.3
1.0,16,0,1,10,34.0,34.0,0,0.0,0.0,7.0,6.05,0.01,66.0,22,0.03,6,31.53,5.7
0.0,8,2,3,11,52.0,0.0,2,0.0,0.0,13.0,0.0,13.88,65.0,28,0.0,13,16.75,22.64
0.0,8,2,4,11,52.0,0.0,2,0.0,0.0,13.0,23.0,6.64,65.0,3,0.0,13,24.09,15.38
0.75,8,2,4,11,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,8.88
0.75,8,2,4,11,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,11.28
1.0,19,0,3,8,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,28,0.91,13,20.0,38.73
1.0,19,0,4,8,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,3,0.93,13,20.0,30.59
1.0,19,0,1,8,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,11,0.93,13,20.0,28.31
1.0,19,0,2,8,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,3,0.89,4,20.0,20.46
1.0,19,0,3,8,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,28,1.05,13,25.0,31.92
0.75,19,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,21.78
0.75,19,0,1,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,11,0.49,13,20.51,19.07
0.75,19,0,2,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,4,20.51,8.8
1.0,19,0,3,8,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,28,0.99,13,30.0,26.11
1.0,19,0,4,8,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,3,0.81,13,30.0,19.97
1.0,19,0,1,8,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,11,0.81,13,30.0,13.27
0.75,19,0,2,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,4,20.51,9.99
1.0,3,0,3,10,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,28,0.56,13,17.96,17.06
1.0,3,0,3,10,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,28,0.49,13,17.83,37.71
1.0,3,0,3,10,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,28,0.78,13,19.19,33.42
1.0,17,0,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,28,0.52,13,21.77,23.26
1.0,17,0,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,28,0.5,13,21.05,31.6
1.0,17,0,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,28,0.51,13,22.43,34.13
1.0,24,0,3,10,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,28,0.44,13,12.13,52.0
1.0,24,0,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,28,0.75,13,22.24,26.68
0.75,11,0,3,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,23.29
1.0,11,0,3,7,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,56.2,28,0.78,13,40.0,28.36
1.0,11,0,3,7,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,28,0.83,13,35.0,25.55
1.0,11,0,3,7,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,60.9,28,0.66,13,30.0,27.35
1.0,11,0,3,7,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,28,0.59,13,25.0,32.02
1.0,9,0,3,9,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,28,0.56,13,20.0,42.17
1.0,9,0,3,9,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,28,0.35,13,15.0,44.85
0.75,8,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,13,20.51,47.07
0.75,8,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,13,20.51,50.0
0.75,8,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,16,20.51,46.72
0.75,15,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,13,20.51,49.31
0.75,15,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,13,20.51,46.55
0.75,15,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,16,20.51,48.45
0.75,16,0,3,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,44.31
0.75,16,0,1,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,13,20.51,26.9
0.75,16,0,4,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,13,20.51,28.28
0.75,16,0,2,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,31,0.49,16,20.51,33.79
0.0,8,0,3,11,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,28,0.0,13,12.2,39.9
0.0,13,0,3,11,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,28,0.0,13,15.3,30.9
0.0,13,0,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,28,0.0,13,22.3,27.1
0.0,13,0,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,28,0.0,13,20.1,30.3
0.0,21,0,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,28,0.0,13,29.9,31.8
0.0,8,0,4,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,3,0.0,13,16.9,39.3
0.0,13,0,4,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,3,0.0,13,20.5,31.2
0.0,13,0,4,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,3,0.0,13,21.3,29.4
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,38,0.22,13,16.0,22.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,38,0.44,13,19.0,28.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,38,0.66,13,22.0,32.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,10.07,0.04,65.0,38,0.22,13,19.0,23.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,7.49,0.04,65.0,38,0.44,13,22.0,29.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,12.04,0.04,65.0,38,0.66,13,16.0,45.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,1.17,0.04,70.0,38,0.22,13,22.0,19.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,1.07,0.04,70.0,38,0.44,13,16.0,40.0
1.0,1,0,1,0,60.0,60.0,0,0.0,0.0,5.0,1.39,0.04,70.0,38,0.66,13,19.0,36.0
1.0,8,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,28,0.28,13,11.0,17.7
1.0,10,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,28,0.28,13,11.0,13.5
1.0,10,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,28,0.28,13,11.0,10.2
1.0,16,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,28,0.28,13,14.7,3.1
1.0,16,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,28,0.28,13,12.9,13.1
1.0,8,0,4,1,28.0,28.0,0,0.0,0.0,0.0,25.0,0.01,65.0,3,0.28,13,16.7,12.8
1.0,8,0,4,1,28.0,28.0,0,0.0,0.0,0.0,14.29,0.01,67.0,3,0.28,13,14.0,14.0
1.0,0,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,28,0.28,13,14.0,13.2
1.0,6,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,28,0.28,13,12.1,8.7
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,21.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,27.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,31.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,22.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,28.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,46.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,18.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,40.0
0.75,1,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,35.0
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,28,0.24,13,14.7,21.3
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,28,0.48,13,18.3,26.6
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,28,0.72,13,20.7,30.6
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,28,0.24,13,18.4,22.0
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,28,0.48,13,21.1,28.4
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,28,0.72,13,15.0,45.9
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,28,0.24,13,21.2,18.4
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,28,0.48,13,14.9,40.3
1.0,2,0,3,11,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,28,0.72,13,18.0,35.3
1.0,16,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,28,0.81,13,21.96,42.26
1.0,16,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,28,0.81,13,21.51,44.09
1.0,16,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,28,0.81,13,21.64,43.14
0.0,1,1,3,11,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,28,0.0,13,17.4,32.15
1.0,1,1,3,11,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,28,0.0,13,17.4,31.59
0.0,1,1,3,11,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,28,0.0,13,17.4,29.96
1.0,1,1,3,11,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,28,0.0,13,17.4,26.24
0.0,1,1,3,11,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,28,0.0,13,17.4,18.22
1.0,1,1,3,11,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,28,0.0,13,17.4,14.66
1.0,1,0,3,10,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,28,0.2,13,11.37,28.22
1.0,1,0,3,11,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,28,0.0,13,18.98,39.2
1.0,1,0,1,11,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,38,0.0,13,18.98,33.8
1.0,1,0,1,11,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,38,0.0,13,18.98,28.9
1.0,1,0,1,11,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,38,0.0,13,18.98,21.8
1.0,1,0,1,11,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,38,0.0,13,18.98,14.3
1.0,26,0,4,8,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,7,0.0,13,30.04,52.14
1.0,26,0,4,8,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,7,0.0,13,30.35,48.82
1.0,26,0,4,8,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,7,0.0,13,30.57,42.31
1.0,26,0,4,8,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,7,0.0,13,30.88,39.54
1.0,26,0,4,8,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,7,0.0,13,31.04,38.67
0.0,15,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,28,0.0,13,21.56,27.86
1.0,15,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,28,0.0,13,18.21,27.01
1.0,15,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,28,0.0,13,18.21,29.97
1.0,15,1,3,0,64.0,64.0,0,0.0,0.0,12.0,0.0,1.0,74.0,28,1.16,13,19.65,25.05
1.0,19,0,3,8,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,28,0.08,13,19.77,1.74
1.0,19,0,3,8,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,28,0.83,13,20.12,14.65
1.0,19,0,3,8,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,28,1.64,13,20.02,24.93
1.0,1,0,3,11,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,28,0.86,13,15.04,42.34
1.0,1,0,3,11,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,28,0.93,13,19.96,29.04
1.0,1,0,3,11,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,28,0.9,13,24.99,25.46
1.0,1,0,3,11,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,28,0.91,13,30.23,25.75
1.0,8,0,3,3,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,28,1.21,13,25.0,37.9
1.0,18,0,3,3,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,28,0.96,13,20.9,20.9
1.0,18,0,3,3,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,28,0.86,13,18.7,8.8
1.0,18,0,3,3,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,28,0.76,13,16.8,5.4
0.0,1,2,1,0,51.0,0.0,2,0.0,0.0,14.0,9.67,13.82,65.0,42,0.0,13,15.0,24.06
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.09,65.0,28,0.0,13,20.0,16.75
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,28,0.0,13,25.0,12.08
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,28,0.0,13,30.0,12.08
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,28,0.0,13,35.0,10.07
0.0,7,1,3,10,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,28,0.1,13,20.42,16.9
0.0,7,1,3,10,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,28,0.1,13,20.42,20.12
0.0,7,1,3,10,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,28,0.1,13,20.42,25.1
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.45,28,0.37,13,11.68,36.4
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.82,28,0.35,13,10.89,35.0
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.53,28,0.37,13,11.38,52.4
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.74,28,0.31,13,12.39,40.3
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.52,28,0.29,13,12.04,27.7
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.08,28,0.31,13,9.49,53.1
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.35,28,0.36,13,12.19,43.3
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.11,28,0.34,13,12.47,40.9
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.01,28,0.31,13,12.04,35.8
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.56,28,0.29,13,11.48,24.9
1.0,20,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.58,28,0.31,13,12.56,30.2
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.18,28,0.35,13,9.95,51.1
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,57.57,28,0.33,13,13.48,18.4
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.18,28,0.34,13,11.3,16.7
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.59,28,0.36,13,10.25,10.8
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,59.92,28,0.36,13,10.59,29.4
1.0,19,0,3,10,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.03,28,0.34,13,10.29,40.5
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,72.7,28,0.4,13,18.0,27.97
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,28,0.4,13,18.0,24.21
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,28,0.2,13,18.0,19.47
1.0,16,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,68.8,28,0.2,13,22.0,13.02
1.0,16,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,69.5,28,0.2,13,26.0,9.67
1.0,16,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,67.3,28,0.2,13,29.0,14.47
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.8,28,0.2,13,18.0,20.84
1.0,1,1,3,1,40.0,0.0,2,0.0,0.0,9.0,0.0,0.2,65.0,28,0.0,13,29.71,29.84
1.0,1,1,0,1,40.0,0.0,2,0.0,0.0,9.0,1.0,0.2,65.0,23,0.0,13,29.85,21.05
1.0,1,1,4,1,40.0,0.0,2,0.0,0.0,9.0,5.0,0.2,65.0,3,0.0,13,33.08,25.7
1.0,1,1,2,1,40.0,0.0,2,0.0,0.0,9.0,6.0,0.2,65.0,3,0.0,11,33.44,15.61
