Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
5,6,2,15,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,0.0,0.22,64.99,0.0,15.04,1.4
5,6,2,2,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,62.76,0.0,13.04,0.4
5,6,2,2,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,60.65,0.0,14.48,0.5
3,6,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,22.1,1.97
3,6,2,16,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,18.2,2.06
3,6,2,21,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,19.1,2.16
7,6,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,0.0,0.06,52.2,0.25,24.8,1.5
7,6,2,13,3,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.73,0.06,52.2,0.25,24.8,1.4
7,6,2,13,3,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.78,0.06,52.2,0.25,24.8,1.0
7,6,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,70.4,0.38,20.3,0.73
7,6,2,13,3,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,4.56,0.06,66.0,0.38,20.36,1.45
7,6,2,13,8,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,6.48,0.06,65.69,0.38,21.43,1.29
7,5,2,7,7,0,0,0,1.0,51.0,1,51.0,0.25,10.0,1.0,10.25,0.03,64.91,0.3,20.08,0.65
0,3,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.09
0,3,2,8,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.2
0,3,2,8,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.15
0,3,2,8,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.22
0,3,2,19,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.06
0,3,2,19,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.15
0,3,2,19,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.1
7,6,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,67.94,0.0,18.89,1.0
7,6,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,3.3,1.2,66.61,0.0,18.89,0.9
7,6,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,6.6,1.2,68.11,0.0,18.89,0.8
7,6,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,9.9,1.2,68.33,0.0,18.89,0.8
7,6,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,13.2,1.2,70.34,0.0,18.89,0.9
7,6,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,16.5,1.2,68.07,0.0,18.89,1.2
6,6,2,15,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,0.0,0.27,68.45,0.46,12.59,0.23
6,6,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,5.89,0.28,66.71,0.45,13.37,0.24
6,6,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,11.86,0.28,67.58,0.44,14.22,0.22
6,6,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,21.41,0.28,65.41,0.43,14.81,0.17
0,6,3,21,7,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,0.0,0.16,60.0,0.13,28.54,0.08
0,6,3,15,7,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,7.5,0.16,60.0,0.13,27.4,0.1
0,6,3,21,7,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,0.0,0.16,60.0,0.0,26.56,0.1
0,6,3,15,7,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,7.5,0.16,60.0,0.0,27.4,0.07
5,2,0,1,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,1.28
5,2,2,14,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,1.75
5,2,2,14,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,2.02
7,5,2,14,7,0,0,1,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,2.02
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.11,25.09,1.8
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.11,25.0,0.57
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.11,23.99,0.41
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.11,22.32,0.09
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.11,21.14,0.02
6,6,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.11,20.4,0.05
7,6,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,18.4,1.5
7,6,2,10,4,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,1.4
7,6,2,11,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,1.2
7,6,2,3,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,1.3
7,6,2,10,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,1.0
6,6,2,15,7,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,0.0,0.29,67.71,0.18,21.24,0.6
6,6,2,2,7,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,12.0,0.29,66.08,0.25,21.21,0.47
7,6,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,5.0,0.12,60.76,2.57,27.17,2.08
7,6,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,10.0,0.12,61.18,2.57,14.51,1.98
7,6,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,20.0,0.12,58.78,2.57,16.71,1.98
7,6,2,5,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,1.0,0.12,61.74,2.57,26.22,2.13
7,7,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,17.91,0.0
7,7,2,21,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,18.23,0.01
7,6,2,15,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,0.0,1.2,65.0,0.0,22.46,1.37
7,6,2,2,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,15.68,1.2,65.0,0.0,24.97,0.71
7,6,2,2,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,31.36,1.2,65.0,0.0,26.48,0.35
7,6,2,2,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.38
7,6,2,15,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,17.43,0.57
7,6,2,16,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,65.79,0.38,14.84,0.79
7,6,2,4,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,67.3,0.38,16.2,0.41
7,6,2,16,1,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,66.1,0.38,13.98,0.68
7,6,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,0.0,0.06,57.54,0.48,19.25,0.34
7,6,2,10,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,0.38
7,6,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,0.47
7,6,2,12,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,4.35,0.06,60.3,0.48,18.97,0.39
6,6,2,15,7,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,11.37,0.88
6,6,2,21,7,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,11.37,0.6
6,6,2,21,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,11.37,0.25
6,6,2,21,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,11.37,0.13
7,6,2,15,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,18.43,1.5
7,6,2,10,5,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,16.22,0.06,61.69,0.25,18.43,1.4
7,6,2,21,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,68.85,0.25,18.43,1.4
7,6,2,10,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,16.22,0.06,61.69,0.25,18.43,2.0
5,6,2,15,7,0,0,0,1.0,50.0,0,34.9,2.05,50.0,9.0,0.0,0.1,60.0,1.37,31.01,2.05
5,6,2,6,7,0,0,0,1.0,50.0,0,29.8,2.02,49.0,9.0,2.0,0.1,60.0,1.42,30.06,2.01
5,6,2,6,7,0,0,0,1.0,50.0,0,31.3,2.02,49.0,9.0,4.0,0.1,60.0,1.4,30.33,1.53
5,6,2,6,7,0,0,0,1.0,50.0,0,30.6,2.0,48.0,9.0,6.0,0.1,60.0,1.35,30.55,1.42
5,6,2,6,7,0,0,0,1.0,50.0,0,35.7,2.02,49.0,9.0,8.0,0.1,60.0,1.34,31.04,1.24
5,6,2,6,7,0,0,0,1.0,50.0,0,34.2,1.02,25.0,9.0,10.0,0.1,60.0,1.29,30.79,0.75
7,6,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,25.0,0.78
7,6,2,2,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,25.94,0.3
7,6,2,2,9,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,17.95,0.2
7,6,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,17.95,0.19
7,6,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,17.95,0.17
7,6,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,22.0,0.1,59.97,0.3,18.43,0.17
7,3,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,12.2,0.55
7,6,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,15.3,0.57
1,6,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,22.3,0.06
1,6,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,20.1,0.03
1,0,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,29.9,0.01
1,3,2,2,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,22.28,0.12,84.1,0.0,16.9,0.12
1,6,2,2,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,9.53,0.12,80.7,0.0,20.5,0.02
1,6,2,2,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,0.07
1,3,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,0.02
1,4,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,0.01
1,4,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,0.02
1,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,0.03
1,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,0.04
1,3,2,2,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,16.7,0.01
1,3,2,2,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,14.29,0.01,67.0,0.28,14.0,0.01
1,6,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,0.01
1,1,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,0.01
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,14.7,1.6
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,18.4,1.5
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,21.2,2.1
7,6,2,15,7,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,2.83,0.95,69.47,0.31,13.16,0.54
7,6,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.81
7,6,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.96
7,6,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,1.05
7,6,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,1.07
6,6,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.07,0.46,25.38,1.11
6,5,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.53,0.46,24.57,1.37
7,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,15.39,0.04
7,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,15.0,0.0,11.25,60.04,0.0,15.39,0.02
6,0,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.02
6,0,2,15,7,0,0,2,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.01
6,6,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,11.37,0.5
7,6,2,15,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,18.98,1.0
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,18.98,0.79
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,18.98,0.74
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,18.98,0.68
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,18.98,0.86
5,6,2,15,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,30.88,2.05
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,30.04,2.01
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,30.35,1.53
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,30.57,1.42
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,30.88,1.24
5,6,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,31.04,0.75
0,6,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,21.56,0.1
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,0.06
0,6,2,15,7,0,0,1,1.0,64.0,0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.16,19.65,0.06
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.08,19.77,0.69
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.83,20.12,0.27
5,6,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.64,20.02,0.17
7,3,2,15,7,0,0,1,0.0,54.1,2,0.0,0.0,0.0,1.6,0.0,0.4,77.53,0.0,6.53,0.02
7,0,2,15,7,0,0,1,0.0,59.5,2,0.0,0.0,0.0,3.0,0.0,0.4,66.71,0.0,6.81,1.1
7,0,2,15,7,0,0,1,0.0,59.5,2,0.0,0.0,0.0,3.0,0.0,0.4,66.36,0.0,9.22,1.2
7,0,2,15,7,0,0,1,0.0,61.1,2,0.0,0.0,0.0,3.2,0.0,14.13,67.68,0.0,7.35,0.0
7,0,2,15,7,0,0,1,0.0,64.1,2,0.0,0.0,0.0,5.6,0.0,12.73,66.26,0.0,7.24,0.03
6,5,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,19.11,0.06
6,6,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,13.27,0.04
6,2,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,13.56,0.03
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,15.04,0.14
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,19.96,0.21
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,24.99,0.28
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.91,30.23,0.32
2,3,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,25.0,1.68
2,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9,0.69
2,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,18.7,1.34
0,3,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.9
0,3,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,1.1
7,6,2,15,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.11,29.0,1.13
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.73,1.37,71.1,0.11,24.7,1.06
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.39,1.37,71.2,0.11,17.6,1.02
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,3.7,1.37,67.6,0.11,19.0,0.71
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,19.5,0.81
7,5,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,21.2,0.77
7,6,2,20,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,19.6,1.2
7,5,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,19.5,1.03
0,6,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.78,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.21,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,18.21,0.07
0,6,2,15,7,0,0,1,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.07
