Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
10,13.0,0,1,0,26.0,26.0,0.0,0.0,11,0.05,0.57,65.0,15.0,2.66,0,39.9,0,0.532,35.0
10,13.0,0,1,0,26.0,26.0,0.0,3.8,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,12.0
10,13.0,0,1,0,26.0,26.0,0.0,7.3,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,5.0
10,13.0,0,1,0,26.0,26.0,0.0,8.9,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,1.0
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.0
0,7.0,0,1,0,14.0,14.0,0.0,6.0,7,0.004,0.1,61.4,44.55357,1.12,0,49.9,8,0.275,4.5
0,7.0,0,1,0,14.0,14.0,0.0,13.0,7,0.004,0.1,59.3,45.58376,0.985,0,44.9,8,0.275,12.3
0,7.0,0,1,0,14.0,14.0,0.0,23.0,7,0.004,0.1,56.9,40.99448,0.905,0,37.1,8,0.275,7.3
10,6.42857,0,1,11,45.0,45.0,30.0,16.87764,11,0.09,7.06051,65.0,11.15335,3.13,1,34.91,21,0.27022,44.1
10,6.42857,0,1,11,45.0,45.0,30.0,15.47117,11,0.09,6.65557,65.0,10.95636,2.75,1,30.13,5,0.269,50.3
10,6.42857,0,1,11,45.0,45.0,30.0,15.47117,11,0.09,7.34153,65.0,9.83607,3.05,1,30.0,2,0.269,34.1
10,7.5,0,1,11,45.0,35.0,30.0,0.0,11,0.09,2.6,65.0,12.9607,2.46,1,31.88332,0,0.25,45.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,11.7281,2.97,1,34.83246,11,0.25,41.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,14.0483,2.52,1,35.40172,19,0.25,35.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,12.0181,2.79,1,33.5305,19,0.25,56.0
10,7.5,0,1,11,45.0,35.0,30.0,1.95,11,0.09,2.6,65.0,12.5619,2.73,1,34.29399,19,0.25,48.0
7,7.0,0,1,4,42.0,42.0,0.5,0.0,11,0.06,0.0275,60.0,10.39326,3.56,1,37.0,0,0.416,39.5
7,7.0,0,1,4,42.0,42.0,0.5,5.0,11,0.06,0.0275,60.0,10.73352,3.49,1,37.46,0,0.416,37.3
7,7.0,0,1,4,42.0,42.0,0.5,25.0,11,0.06,0.0275,60.0,15.5,2.96,1,45.88,0,0.416,26.7
7,12.0,1,0,0,60.0,0.0,0.0,0.0,11,0.22,0.0,64.9862,15.04178,2.65926,0,40.0,0,0.38975,55.3
7,12.0,1,0,0,60.0,0.0,0.0,10.0,11,0.22,0.0,62.7622,13.04196,2.86,0,37.3,0,0.40482,48.9
7,12.0,1,0,0,60.0,0.0,0.0,10.0,11,0.22,0.0,60.6549,14.48276,2.61,0,37.8,0,0.38305,43.0
6,2.08333,2,0,0,25.0,25.0,0.0,0.0,2,0.0272,0.79564,73.0,19.8,1.8,0,35.64,0,0.79598,22.0
6,2.08333,2,0,0,25.0,25.0,0.0,10.0,2,0.081,4.36109,69.7,27.5,1.4,0,38.5,0,0.47746,3.0
7,8.57143,1,0,0,60.0,0.0,0.0,0.0,11,0.165,0.0,60.0,12.3645,3.05674,0,37.7951,0,0.19,32.3
7,8.57143,1,0,0,60.0,0.0,0.0,10.0,11,0.165,0.0,59.0,13.2954,2.96078,0,39.3648,0,0.21,15.8
7,8.57143,1,0,0,60.0,0.0,0.0,10.0,11,0.165,0.0,58.0,11.4409,3.33965,0,38.2086,0,0.21,21.9
0,7.14286,1,0,0,150.0,0.0,0.0,0.0,2,0.12,0.0,65.0,31.6,1.698,0,37.07796,0,0.38083,2.01
0,7.14286,1,0,0,150.0,0.0,0.0,4.0,2,0.12,0.0,65.0,31.67614,1.698,0,35.29796,1,0.39583,6.5
0,7.14286,1,0,0,150.0,0.0,0.0,8.0,2,0.12,0.0,65.0,31.77966,1.698,0,30.45683,1,0.41167,1.46
0,7.14286,1,0,0,150.0,0.0,0.0,12.0,2,0.12,0.0,65.0,31.5,1.697,0,28.63153,1,0.42667,4.33
3,7.0,0,1,0,35.0,60.0,0.0,0.0,11,0.06,0.2,60.0,22.1,1.79,0,39.559,0,0.56915,47.4
3,7.0,0,1,0,35.0,60.0,0.0,10.0,11,0.06,0.2,60.0,18.2,1.98,0,36.036,23,0.57265,30.7
3,7.0,0,1,0,35.0,60.0,0.0,10.0,11,0.06,0.2,60.0,19.1,1.89,0,36.099,2,0.57265,37.5
6,3.11111,0,1,11,28.0,60.0,30.0,0.0,11,0.07772,1.43875,63.0,32.06504,1.23,1,39.44,0,0.51914,38.0
6,3.11111,0,1,11,28.0,60.0,30.0,0.0,7,0.07772,1.40366,60.0,33.03604,1.11,1,36.67,0,0.5,38.0
6,3.11111,0,1,11,28.0,28.0,30.0,0.18,11,0.07772,0.26253,61.0,31.89256,1.21,1,38.59,24,0.79426,38.0
6,3.11111,0,1,11,28.0,28.0,30.0,0.06,7,0.07772,0.3022,62.0,30.96721,1.22,1,37.78,24,0.76682,13.0
10,9.33333,0,1,0,28.0,28.0,0.0,0.0,11,0.06,0.25,52.2,24.8,2.23,0,55.304,0,0.63148,43.9
10,9.33333,0,1,0,28.0,28.0,0.0,3.72823,11,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.64429,22.3
10,9.33333,0,1,0,28.0,28.0,0.0,3.78398,11,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.64429,20.2
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,0,0.48697,31.51
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,15,0.50441,13.15
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,9,0.50441,11.5
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,24,0.50441,10.69
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,2,0.50441,7.59
10,8.75,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.38,70.4,20.3,2.09,0,42.4,0,0.59696,33.01
10,8.75,0,1,0,35.0,35.0,0.0,4.56,11,0.06,0.38,69.19,18.59005,2.17362,0,38.04212,15,0.61861,31.48
10,8.75,0,1,0,35.0,35.0,0.0,6.48,11,0.06,0.38,69.19,16.00383,2.40973,0,35.36664,15,0.63764,28.63
10,11.2,1,0,0,56.0,21.0,0.0,0.0,7,0.4,0.333,66.4,24.26678,0.98034,0,38.63961,0,0.285,36.8
10,11.2,1,0,0,56.0,21.0,0.0,8.53343,7,0.4,0.333,64.9,27.32214,0.96855,0,40.00521,0,0.2938,26.4
10,11.2,1,0,0,56.0,21.0,0.0,16.52893,7,0.4,0.333,63.7,29.05398,1.00688,0,39.31021,0,0.30319,16.5
10,11.2,1,0,0,56.0,21.0,0.0,23.93612,7,0.4,0.333,62.4,32.96173,1.03636,0,38.31411,0,0.31319,12.7
10,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,27.8
10,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,19,0.47904,13.3
10,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,5,0.47904,11.069
10,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,7,0.47904,6.384
10,5.24451,0,1,2,45.00543,23.95271,3.71964,4.61917,7,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,0,0.47904,14.682
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,30,0.47904,16.0
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,22,0.47904,53.0
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,25,0.47904,26.0
7,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,5,0.47904,42.0
0,26.8,2,0,0,134.0,0.0,0.0,0.0,11,1.92422,0.0,62.63,17.9,1.4,0,25.06,0,0.51969,22.39929
0,26.8,2,0,0,134.0,0.0,0.0,10.0,11,2.19409,0.0,65.46,17.8,1.33,0,23.674,8,0.45577,20.7
0,26.8,2,0,0,134.0,0.0,0.0,17.8,11,2.21016,0.0,64.61,18.9,1.32,0,24.948,8,0.45246,17.09545
0,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,8,0.47904,24.38837
0,26.8,2,0,0,134.0,0.0,0.0,9.9,11,1.93464,0.0,64.12,20.1,1.29,0,25.929,26,0.51689,12.70853
0,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,26,0.47904,15.03571
0,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,26,0.47904,21.34472
8,0.0,0,1,0,16.0,16.0,0.0,0.0,7,0.1,0.233,61.7,16.64286,2.8,0,46.6,0,0.278,22.49666
8,0.0,0,1,0,14.0,14.0,0.0,10.0,7,0.1,0.233,64.2,18.2,2.5,0,45.5,6,0.305,10.31193
10,9.0,0,1,0,18.0,18.0,0.0,0.0,7,0.012,0.31,63.74,16.00335,2.52,0,28.33709,0,0.33333,22.8
10,9.0,0,1,0,18.0,18.0,0.0,5.166,7,0.012,0.31,63.74,17.5109,2.54,0,30.08601,19,0.33333,17.6
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.2885,70.5,26.0,1.59,0,41.34,0,0.27647,24.57547
0,0.0,0,1,0,15.0,15.0,0.0,3.62976,11,0.17,0.29038,71.0,21.946,1.44,0,35.0364,12,0.27941,15.09375
0,0.0,0,1,0,15.0,15.0,0.0,7.30994,11,0.17,0.2924,71.5,22.256,1.55,0,35.202,12,0.28235,15.4871
0,0.0,0,1,0,15.0,15.0,0.0,9.97672,11,0.17,0.26605,69.0,30.0,1.36,0,40.8,12,0.28529,12.09124
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.26377,70.0,20.576,1.72,0,33.8986,0,0.29735,15.91628
0,0.0,0,1,0,15.0,15.0,0.0,13.09719,11,0.17,0.28166,71.8,21.36,1.66,0,39.2746,12,0.29624,16.07952
0,0.0,0,1,0,15.0,15.0,0.0,24.36647,11,0.17,0.26201,69.6,20.47669,1.58,0,39.2212,12,0.29541,17.38228
0,0.0,0,1,0,15.0,15.0,0.0,37.59079,11,0.17,0.26947,70.3,23.68712,1.47,0,43.71257,12,0.294,21.42857
0,0.0,0,1,0,15.0,6.0,0.0,0.0,11,0.17,0.28948,70.6,19.81,1.59,0,34.55,0,0.27647,20.97044
0,0.0,0,1,0,15.0,6.0,0.0,3.10479,11,0.17,0.28882,70.8,19.81,1.57,0,33.974,27,0.279,15.50064
0,0.0,0,1,0,15.0,6.0,0.0,3.43688,11,0.17,0.28171,70.1,19.81,1.55,0,34.55,27,0.27934,16.72387
0,0.0,0,1,0,15.0,6.0,0.0,3.68545,11,0.17,0.27867,69.8,19.81,1.55,0,34.55,27,0.27958,15.46387
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.27765,71.5,20.576,1.62,0,34.264,0,0.29735,20.20988
0,0.0,0,1,0,15.0,15.0,0.0,3.66885,11,0.17,0.28276,72.3,22.406,1.35,0,35.202,27,0.30041,17.13333
0,0.0,0,1,0,15.0,15.0,0.0,7.0174,11,0.17,0.27016,71.3,22.776,1.31,0,35.202,27,0.30346,14.74046
0,0.0,0,1,0,15.0,15.0,0.0,10.35227,11,0.17,0.26561,71.1,22.776,1.25,0,35.202,27,0.30652,16.0
10,7.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,0,0.34258,40.1
10,7.0,1,0,0,70.0,0.0,0.0,3.3,11,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,2,0.37108,36.4
10,7.0,1,0,0,70.0,0.0,0.0,6.6,11,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,2,0.30532,34.3
10,7.0,1,0,0,70.0,0.0,0.0,9.9,11,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,2,0.38456,28.1
10,7.0,1,0,0,70.0,0.0,0.0,13.2,11,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,2,0.39214,21.7
10,7.0,1,0,0,70.0,0.0,0.0,16.5,11,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,2,0.38537,11.5
8,0.0,0,1,0,42.0,21.0,0.0,0.0,0,0.4,0.27668,71.68,32.89157,0.83,0,27.3,0,0.5,40.7
8,0.0,0,1,0,42.0,21.0,0.0,3.5,0,0.4,0.28504,61.117,33.86114,0.821,0,27.8,0,0.505,38.3
8,0.0,0,1,0,42.0,21.0,0.0,10.6,0,0.4,0.17059,61.048,35.56382,0.807,0,28.7,0,0.515,32.2
8,0.0,0,1,0,42.0,21.0,0.0,17.7,0,0.4,0.13069,64.03322,37.15365,0.794,0,29.5,0,0.525,26.7
8,0.0,0,1,0,42.0,21.0,0.0,24.7,0,0.4,0.63639,63.628,38.61893,0.782,0,30.2,0,0.535,20.4
8,0.0,0,1,0,42.0,21.0,0.0,31.8,0,0.4,0.5968,60.539,42.46196,0.723,0,30.7,0,0.545,14.6
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.5536,57.9,18.84294,2.13,0,30.84213,9,0.67843,3.76
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.5806,58.2,15.59019,2.05,0,30.45546,9,0.67843,4.01
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.5806,59.4,13.73426,2.14,0,30.45546,9,0.67843,24.8
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.5956,57.5,15.49294,2.15,0,33.38463,9,0.67735,28.1
8,2.0,0,1,0,22.0,22.0,0.0,0.0,7,0.0035,0.49494,58.2,14.76885,2.13,0,30.45546,0,0.67843,44.7
8,5.33333,0,1,0,16.0,16.0,0.0,0.0,7,0.045,0.51546,70.9,20.0,2.1,0,42.0,0,0.44444,24.4
8,5.33333,0,1,0,16.0,16.0,0.0,14.0,7,0.045,0.53004,71.7,21.0,2.0,0,42.0,0,0.44444,9.2
8,5.33333,0,1,0,16.0,16.0,0.0,14.0,7,0.045,0.47319,68.3,25.0,1.7,0,42.5,0,0.44444,8.5
3,2.11111,0,1,0,19.0,19.0,0.0,0.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,0,0.82879,49.1
3,2.11111,0,1,0,19.0,19.0,0.0,3.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,19,0.82879,40.5
3,2.11111,0,1,0,19.0,19.0,0.0,6.9,4,0.3946,10.0,70.0,26.34783,1.61,0,42.42,17,0.78782,40.5
3,2.11111,0,1,0,19.0,19.0,0.0,9.9,4,0.3946,10.0,70.0,26.34783,1.61,0,42.42,19,0.76493,18.9
10,5.83333,0,1,8,35.0,35.0,10.0,2.38663,4,0.187,5.96659,58.1,26.0,1.8681,1,48.57059,19,0.2139,33.01
10,5.83333,0,1,8,35.0,35.0,10.0,14.31981,4,0.187,5.96659,58.1,26.0,1.73697,1,45.16131,30,0.2139,28.94
10,5.83333,0,1,8,35.0,35.0,10.0,26.25298,4,0.187,5.96659,58.1,26.0,1.54555,1,40.18429,30,0.2139,21.28
10,5.83333,0,1,8,35.0,35.0,10.0,38.18616,4,0.187,5.96659,58.1,26.0,1.48859,1,38.70333,30,0.2139,17.39
5,5.0,1,0,0,35.0,0.0,0.0,3.01629,11,1.0,0.0,66.8467,26.10745,1.6298,0,39.02896,19,0.2,15.2
5,5.0,1,0,0,35.0,0.0,0.0,6.06463,11,1.0,0.0,67.0219,26.24405,1.62781,0,39.02896,6,0.2,10.5
5,5.0,1,0,0,35.0,0.0,0.0,8.86923,11,1.0,0.0,66.1752,26.53278,1.62185,0,39.02896,6,0.2,9.0
5,5.0,1,0,0,35.0,0.0,0.0,11.87687,11,1.0,0.0,66.3211,26.53278,1.62384,0,39.02896,6,0.2,4.2
10,9.33333,1,0,0,112.0,42.0,0.0,0.0,7,0.28,0.2569,65.4,25.0,1.4,0,43.93961,0,0.42092,42.8
10,9.33333,1,0,0,112.0,42.0,0.0,2.94985,7,0.28,0.26221,66.1,25.0,1.6,0,44.09714,19,0.42642,41.4
10,9.33333,1,0,0,112.0,0.0,0.0,0.0,7,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,0,0.74535,46.54838
10,9.33333,1,0,0,112.0,0.0,0.0,2.8169,7,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,19,0.7441,34.81425
7,7.71429,0,1,0,54.0,54.0,0.0,0.0,11,0.0938,0.05,65.0,25.0,1.97611,0,43.48908,0,0.57539,53.83
7,7.71429,0,1,0,54.0,54.0,0.0,5.0,11,0.0785,0.05,65.0,25.0,1.9161,0,43.48908,19,0.57539,47.08
10,7.0,1,1,0,56.0,28.0,0.0,0.0,7,0.4,5e-05,65.0,19.52878,1.76424,0,36.92762,0,0.285,36.8405
10,7.0,1,1,0,56.0,28.0,0.0,8.4771,7,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29355,26.4139
10,7.0,1,1,0,56.0,28.0,0.0,16.95419,7,0.4,5e-05,65.0,22.72025,1.85107,0,39.69858,0,0.3021,16.5561
10,7.0,1,1,0,56.0,28.0,0.0,25.43129,7,0.4,4e-05,65.0,18.94242,2.04762,0,39.30548,0,0.31065,12.5751
10,7.0,1,1,0,56.0,28.0,0.0,9.04224,7,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29412,12.7014
10,7.0,1,1,0,56.0,28.0,0.0,9.60738,7,0.4,5e-05,65.0,23.27456,1.43925,0,37.75262,0,0.29469,9.85783
10,7.0,1,1,0,56.0,28.0,0.0,10.17252,7,0.4,5e-05,65.0,23.27456,1.43925,0,37.75262,0,0.29526,18.3255
3,3.88889,0,1,0,35.0,35.0,0.0,2.25,7,0.02,0.5,66.647,29.0076,1.72104,0,41.4847,14,0.57359,44.2829
3,3.88889,0,1,0,35.0,35.0,0.0,1.8209,7,0.02,0.5,64.24035,32.0229,1.73107,0,41.7283,14,0.51128,0.2907
3,3.88889,0,1,0,35.0,35.0,0.0,2.5709,7,0.02,0.5,65.43,30.3435,1.66133,0,41.1493,14,0.51435,19.0891
3,3.88889,0,1,0,35.0,35.0,0.0,3.3209,7,0.02,0.5,66.486,26.9466,1.81193,0,41.2947,14,0.57359,27.3256
3,3.88889,0,1,0,35.0,35.0,0.0,4.0709,7,0.02,0.5,66.033,29.0458,1.66134,0,41.4847,14,0.57048,47.9651
10,6.66667,0,1,10,40.0,30.0,30.0,0.0,11,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69974,53.1
10,6.66667,0,1,10,40.0,30.0,30.0,6.0,11,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,2,0.55501,36.2
10,6.66667,0,1,10,40.0,30.0,30.0,15.0,11,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,21,0.33485,46.5
10,6.66667,0,1,10,40.0,30.0,30.0,1.46082,11,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,21,0.65431,41.5
5,7.0,1,0,0,28.0,0.0,0.0,0.0,11,1.0,0.0,65.0,26.71429,1.4,0,37.4,0,0.1,19.53
5,7.0,1,0,0,28.0,0.0,0.0,6.0,11,1.0,0.0,61.15219,25.78943,1.4,0,43.4955,0,0.10575,22.53
5,7.0,1,0,0,28.0,0.0,0.0,18.0,11,1.0,0.0,61.24963,24.64633,1.4,0,40.33513,0,0.11726,20.85
5,7.0,1,0,0,28.0,0.0,0.0,30.0,11,1.0,0.0,61.0,24.57825,1.4,0,40.33513,0,0.12877,19.4
5,7.0,1,0,0,28.0,0.0,0.0,42.0,11,1.0,0.0,65.127,24.41803,1.4,0,40.58513,0,0.14028,16.26
5,5.24451,1,0,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,14.85
10,7.0,0,1,0,28.0,28.0,0.0,0.0,7,1.8,0.20354,63.2432,21.33081,2.07658,0,38.52876,0,0.66833,19.5
10,7.0,0,1,0,28.0,28.0,0.0,0.69203,7,1.8,0.20761,64.0541,18.6549,2.07658,0,37.96957,19,0.67,18.5
8,5.09091,0,1,0,56.0,56.0,0.0,0.0,11,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,0,0.5,6.03
8,5.09091,0,1,0,56.0,56.0,0.0,2.0,11,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,0,0.5,4.15
8,5.09091,0,1,0,56.0,56.0,0.0,4.0,11,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,0,0.5,2.7
8,5.09091,0,1,0,56.0,56.0,0.0,6.0,11,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,0,0.5,3.16
8,5.09091,0,1,0,56.0,56.0,0.0,8.0,11,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,0,0.5,2.44
8,5.09091,0,1,0,56.0,56.0,0.0,12.0,11,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,0,0.5,2.21
8,5.09091,0,1,0,56.0,56.0,0.0,18.0,11,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,0,0.5,2.08
